NU_ANO_EDICAO;CO_CURSO;NO_AREA;DS_MODALIDADE;VL_NOTA_BRUTA_FG;VL_NOTA_BRUTA_CE;VL_NOTA_ENADE_CONTINUO
2016;1204014;EDUCAÇÃO FÍSICA (BACHARELADO);Educação Presencial;39.708889008000;36.568889618000;1.532400000000
2016;120410;AGRONOMIA;Educação Presencial;46.484848022000;59.718181610000;2.590400000000
2016;1204112;TECNOLOGIA EM GESTÃO AMBIENTAL;Educação a Distância;34.580585480000;41.847969055000;1.805900000000
2016;120418;ENFERMAGEM;Educação Presencial;42.659091949000;39.507575989000;2.042600000000
2016;1204182;EDUCAÇÃO FÍSICA (BACHARELADO);Educação Presencial;39.424999237000;48.625000000000;2.898400000000
2016;1204189;BIOMEDICINA;Educação Presencial;43.835414886000;39.831249237000;1.887200000000
2016;120424;SERVIÇO SOCIAL;Educação Presencial;35.369766235000;56.658138275000;2.747600000000
2016;120426;MEDICINA VETERINÁRIA;Educação Presencial;45.872001648000;47.391998291000;2.292000000000
2016;120437;BIOMEDICINA;Educação Presencial;42.422935486000;36.614677429000;1.479800000000
2016;120444;TECNOLOGIA EM GESTÃO AMBIENTAL;Educação Presencial;;;
2016;1204581;BIOMEDICINA;Educação Presencial;46.929630280000;35.470371246000;1.512100000000
2016;1204986;EDUCAÇÃO FÍSICA (BACHARELADO);Educação Presencial;49.682609558000;48.769565582000;3.336200000000
2016;1205022;EDUCAÇÃO FÍSICA (BACHARELADO);Educação Presencial;36.819355011000;41.909675598000;2.024000000000
2016;1205072;NUTRIÇÃO;Educação Presencial;36.827274323000;46.845455170000;1.998300000000
2016;120511;NUTRIÇÃO;Educação Presencial;42.734287262000;47.131427765000;2.219300000000
2016;1205199;AGRONOMIA;Educação Presencial;51.130001068000;55.723999023000;2.333900000000
2016;1205328;TECNOLOGIA EM GESTÃO AMBIENTAL;Educação Presencial;43.466667175000;53.700000763000;3.676600000000
2016;1205554;EDUCAÇÃO FÍSICA (BACHARELADO);Educação Presencial;52.950000763000;41.250000000000;2.611100000000
2016;1205591;FISIOTERAPIA;Educação Presencial;45.500000000000;33.466667175000;2.160900000000
2016;1205712;TECNOLOGIA EM GESTÃO AMBIENTAL;Educação a Distância;45.174999237000;45.779998779000;2.691500000000
2016;120591;ENFERMAGEM;Educação Presencial;38.464000702000;34.728000641000;1.388500000000
2016;1205913;TECNOLOGIA EM GESTÃO HOSPITALAR;Educação Presencial;35.405883789000;40.808822632000;1.486500000000
2016;120635;ENFERMAGEM;Educação Presencial;42.315383911000;41.907691956000;2.289100000000
2016;1206391;TECNOLOGIA EM AGRONEGÓCIOS;Educação Presencial;42.162498474000;35.758335114000;1.828000000000
2016;1206392;TECNOLOGIA EM AGRONEGÓCIOS;Educação Presencial;36.308334351000;33.754165649000;1.303100000000
2016;120641;FISIOTERAPIA;Educação Presencial;38.122608185000;35.448696136000;2.119800000000
2016;120651;BIOMEDICINA;Educação Presencial;39.754413605000;30.673528671000;0.725300000000
2016;1206568;TECNOLOGIA EM ESTÉTICA E COSMÉTICA;Educação Presencial;47.451610565000;43.690322876000;2.627200000000
2016;120704;TECNOLOGIA EM ESTÉTICA E COSMÉTICA;Educação Presencial;39.853847504000;51.384616852000;3.190500000000
2016;120739;NUTRIÇÃO;Educação Presencial;;;
2016;120764;TECNOLOGIA EM AGRONEGÓCIOS;Educação Presencial;39.204544067000;41.404544830000;2.478000000000
2016;120771;EDUCAÇÃO FÍSICA (BACHARELADO);Educação Presencial;32.830001831000;27.530000687000;0.217000000000
2016;120810;TECNOLOGIA EM AGRONEGÓCIOS;Educação Presencial;42.573078156000;46.603847504000;3.336200000000
2016;120830;ENFERMAGEM;Educação Presencial;59.267646790000;58.891178131000;4.682200000000
2016;120922;FARMÁCIA;Educação Presencial;49.768627167000;53.058822632000;2.773000000000
2016;120934;FISIOTERAPIA;Educação Presencial;43.439998627000;33.946666718000;2.141500000000
2016;120944;ZOOTECNIA;Educação Presencial;46.755813599000;34.106975555000;1.912500000000
2016;120983;MEDICINA;Educação Presencial;64.153488159000;70.362792969000;3.263000000000
2016;121007;FISIOTERAPIA;Educação Presencial;54.744998932000;40.865001678000;3.284900000000
2016;121018;TECNOLOGIA EM GESTÃO AMBIENTAL;Educação Presencial;60.465789795000;56.655261993000;4.655400000000
2016;121034;FARMÁCIA;Educação Presencial;43.029998779000;52.450000763000;2.474600000000
2016;121054;FARMÁCIA;Educação Presencial;42.016666412000;41.049999237000;1.310200000000
2016;121061;TECNOLOGIA EM RADIOLOGIA;Educação Presencial;;;
2016;121093;SERVIÇO SOCIAL;Educação a Distância;33.362895966000;35.530467987000;1.097400000000
2016;1211173;TECNOLOGIA EM GESTÃO AMBIENTAL;Educação Presencial;41.355556488000;43.477775574000;2.255500000000
2016;121137;TECNOLOGIA EM ESTÉTICA E COSMÉTICA;Educação Presencial;40.984615326000;42.753845215000;2.125700000000
2016;121145;TECNOLOGIA EM ESTÉTICA E COSMÉTICA;Educação Presencial;48.430435181000;37.826087952000;1.916000000000
2016;121158;ENFERMAGEM;Educação Presencial;38.309089661000;55.372726440000;3.601800000000
2016;1212124;EDUCAÇÃO FÍSICA (BACHARELADO);Educação Presencial;43.267566681000;54.099998474000;3.681800000000
2016;1212462;EDUCAÇÃO FÍSICA (BACHARELADO);Educação Presencial;34.445453644000;34.718181610000;1.104800000000
2016;121279;TECNOLOGIA EM ESTÉTICA E COSMÉTICA;Educação Presencial;44.536365509000;49.563636780000;3.226100000000
2016;1213054;ENFERMAGEM;Educação Presencial;53.799999237000;35.525001526000;1.988000000000
2016;121344;ENFERMAGEM;Educação Presencial;43.483333588000;49.341667175000;3.127000000000
2016;121348;NUTRIÇÃO;Educação Presencial;43.121051788000;53.331577301000;2.752100000000
2016;1213944;EDUCAÇÃO FÍSICA (BACHARELADO);Educação Presencial;48.383331299000;48.666667938000;3.271100000000
2016;121401;NUTRIÇÃO;Educação Presencial;47.310638428000;54.700000763000;3.006600000000
2016;1214165;EDUCAÇÃO FÍSICA (BACHARELADO);Educação Presencial;35.665000916000;36.807498932000;1.393600000000
2016;121421;ENFERMAGEM;Educação Presencial;45.599998474000;43.803226471000;2.602800000000
2016;121425;FISIOTERAPIA;Educação Presencial;41.588680267000;37.632076263000;2.477200000000
2016;121445;FONOAUDIOLOGIA;Educação Presencial;44.031147003000;45.713115692000;0.839000000000
2016;44969;FISIOTERAPIA;Educação Presencial;47.540740967000;36.914813995000;2.606000000000
2016;44971;NUTRIÇÃO;Educação Presencial;51.619998932000;52.931999207000;3.002100000000
2016;45018;ENFERMAGEM;Educação Presencial;57.557498932000;55.924999237000;4.306100000000
2016;4503;MEDICINA;Educação Presencial;57.089214325000;66.144119263000;2.251500000000
2016;45070;NUTRIÇÃO;Educação Presencial;56.166667938000;69.135711670000;4.512300000000
2016;4535;FISIOTERAPIA;Educação Presencial;44.312000275000;42.340000153000;3.082700000000
2016;45492;NUTRIÇÃO;Educação Presencial;47.357143402000;45.359523773000;2.225000000000
2016;45494;SERVIÇO SOCIAL;Educação Presencial;45.200000763000;57.889472961000;3.182800000000
2016;45559;ENFERMAGEM;Educação Presencial;39.924999237000;44.400001526000;2.476800000000
2016;45598;AGRONOMIA;Educação Presencial;41.873077393000;57.215385437000;2.133400000000
2016;45693;ENFERMAGEM;Educação Presencial;44.577144623000;41.405715942000;2.310900000000
2016;45762;EDUCAÇÃO FÍSICA (BACHARELADO);Educação Presencial;37.909091949000;41.447273254000;2.015900000000
2016;45815;TECNOLOGIA EM GESTÃO AMBIENTAL;Educação Presencial;50.887500763000;46.670833588000;3.006900000000
2016;4585;ODONTOLOGIA;Educação Presencial;43.588462830000;59.530769348000;2.485200000000
2016;45877;NUTRIÇÃO;Educação Presencial;35.464000702000;46.515998840000;1.925200000000
2016;45976;ODONTOLOGIA;Educação Presencial;32.055931091000;33.049152374000;0.000000000000
2016;46151;MEDICINA VETERINÁRIA;Educação Presencial;32.629268646000;42.158535004000;1.059200000000
2016;46178;FISIOTERAPIA;Educação Presencial;49.386955261000;36.269565582000;2.600100000000
2016;46244;FARMÁCIA;Educação Presencial;46.860000610000;49.639999390000;2.331800000000
2016;46278;ODONTOLOGIA;Educação Presencial;45.561702728000;49.759574890000;1.560400000000
2016;46742;ENFERMAGEM;Educação Presencial;54.533332825000;53.079998016000;3.899100000000
2016;4679;MEDICINA VETERINÁRIA;Educação Presencial;41.861904144000;48.423809052000;2.280000000000
2016;46871;ENFERMAGEM;Educação Presencial;44.700000763000;42.488235474000;2.431300000000
2016;46875;ENFERMAGEM;Educação Presencial;48.791305542000;50.113044739000;3.387800000000
2016;46877;FONOAUDIOLOGIA;Educação Presencial;52.731819153000;60.154544830000;3.127700000000
2016;46903;SERVIÇO SOCIAL;Educação Presencial;48.073078156000;70.669227600000;4.238900000000
2016;46909;ENFERMAGEM;Educação Presencial;;;
2016;46915;FISIOTERAPIA;Educação Presencial;41.438888550000;32.172222137000;1.879400000000
2016;46917;FARMÁCIA;Educação Presencial;41.014999390000;41.840000153000;1.353000000000
2016;47040;AGRONOMIA;Educação Presencial;37.435714722000;54.566070557000;1.667100000000
2016;47181;AGRONOMIA;Educação Presencial;38.814285278000;60.461906433000;2.370100000000
2016;4720;MEDICINA;Educação Presencial;67.529029846000;74.290321350000;4.023800000000
2016;4721;ENFERMAGEM;Educação Presencial;53.950000763000;58.573684692000;4.469900000000
2016;47273;MEDICINA VETERINÁRIA;Educação Presencial;42.073078156000;48.115383148000;2.245500000000
2016;47615;FISIOTERAPIA;Educação Presencial;46.628570557000;38.282855988000;2.722800000000
2016;47675;FONOAUDIOLOGIA;Educação Presencial;41.238460541000;63.446155548000;3.138400000000
2016;47682;BIOMEDICINA;Educação Presencial;48.007690430000;47.584613800000;2.896300000000
2016;47706;ENFERMAGEM;Educação Presencial;37.076362610000;34.458183289000;1.313000000000
2016;47708;FISIOTERAPIA;Educação Presencial;31.888889313000;33.466667175000;1.688200000000
